Target,F_regression_R2,MutualInfo_R2,LassoCV_R2,RandomForest_R2,Best_Method
MMSE_Score,0.01673945176488558,-0.060555710959146095,-0.5892126013093915,0.003562290663965628,F
CardSort_Unadj,0.054416522643765106,-0.04812522264455423,-0.5924055281604611,-0.0036640105029138283,F
CardSort_AgeAdj,0.0704762996103135,-0.09894822386988862,0.06588997421285556,0.033585800174542754,F
Flanker_Unadj,0.11549473808703406,-0.11065801944236772,0.014659423172162378,0.00860846625414211,F
Flanker_AgeAdj,0.15717605960241368,-0.0669436726859074,-0.5563582544179217,0.04263518660970831,F
WM_Task_Acc,0.05424364596768629,-0.09875302178558787,-0.6069138478549156,0.028994492529872386,F
ListSort_Unadj,0.08100084169437523,-0.08909301198425243,-0.001740392146874159,0.01139477433389866,F
ListSort_AgeAdj,0.05015816326777247,-0.07115646066957812,-0.6189603746020993,-0.015295262745083615,F
SCPT_SEN,-0.046431892532027216,-0.2203874168131194,-0.9405271875089364,-0.26963991417788397,F
SCPT_SPEC,-0.004791711757963157,-0.1603091039140822,-0.02283982809676688,-0.08173180736309024,F
ProcSpeed_Unadj,0.07723566300773603,-0.05691447903479681,-0.4182900491959485,0.006565763014479064,F
ProcSpeed_AgeAdj,0.04998277905495594,-0.111322515542376,-0.41492355938878,0.003171513364948764,F
ReadEng_Unadj,0.08980595040494757,-0.055482194781694825,0.009647195799099718,-0.018755420610413288,F
ReadEng_AgeAdj,0.08133055971084042,-0.07784958051837816,0.05060891878149294,0.05440213323896439,F
PicVocab_Unadj,0.06823600319015972,-0.05871067971126818,0.10247878486001176,0.04035631671110389,Lasso
PicVocab_AgeAdj,0.07725598657237534,-0.10981075608921906,0.08238158986188482,0.03282729185987958,Lasso
Language_Task_Acc,0.06931079929722521,-0.1314778368200662,-0.004221981093673976,-0.009949823719544337,F
