ROI_Name,Hemisphere,Network,Subregion,Parcel_Index,RGB1,RGB2,RGB3,Label
17Networks_RH_SomMotA_2,RH,SomMotA,SomMotA,2,74,131,183,0
17Networks_RH_SomMotA_3,RH,SomMotA,SomMotA,3,74,131,184,0
17Networks_RH_SomMotA_4,RH,SomMotA,SomMotA,4,74,131,185,0
17Networks_RH_SomMotB_S2_2,RH,SomMotB,SomMotB_S2,2,47,205,167,0
17Networks_RH_SomMotB_Cent_1,RH,SomMotB,SomMotB_Cent,1,47,205,168,0
17Networks_RH_DorsAttnA_TempOcc_1,RH,DorsAttnA,DorsAttnA_TempOcc,1,79,155,62,0
17Networks_RH_DorsAttnA_ParOcc_1,RH,DorsAttnA,DorsAttnA_ParOcc,1,79,155,63,0
17Networks_RH_DorsAttnA_SPL_1,RH,DorsAttnA,DorsAttnA_SPL,1,79,155,64,0
17Networks_RH_DorsAttnB_PostC_1,RH,DorsAttnB,DorsAttnB_PostC,1,5,118,16,0
17Networks_RH_DorsAttnB_PostC_2,RH,DorsAttnB,DorsAttnB_PostC,2,5,118,17,0
17Networks_RH_DorsAttnB_FEF_1,RH,DorsAttnB,DorsAttnB_FEF,1,5,119,15,0
17Networks_RH_SalVentAttnA_ParOper_1,RH,SalVentAttnA,SalVentAttnA_ParOper,1,200,58,250,0
17Networks_RH_SalVentAttnA_Ins_1,RH,SalVentAttnA,SalVentAttnA_Ins,1,199,58,251,0
17Networks_RH_SalVentAttnA_ParMed_1,RH,SalVentAttnA,SalVentAttnA_ParMed,1,199,57,251,0
17Networks_RH_SalVentAttnA_FrMed_1,RH,SalVentAttnA,SalVentAttnA_FrMed,1,199,57,252,0
17Networks_RH_SalVentAttnB_IPL_1,RH,SalVentAttnB,SalVentAttnB_IPL,1,250,152,214,0
17Networks_RH_SalVentAttnB_PFCl_1,RH,SalVentAttnB,SalVentAttnB_PFCl,1,250,151,214,0
17Networks_RH_SalVentAttnB_PFCmp_1,RH,SalVentAttnB,SalVentAttnB_PFCmp,1,250,153,214,0
